Home O O
Districts O O
[ O O
By O O
Delia I-PER I-PER
Moylan I-PER I-PER
COMMA O O
collected O O
from O O
Mary I-PER I-PER
Reynolds I-PER I-PER
COMMA O O
Meelick O O
COMMA O I-ORG
Ballinlough O I-ORG
COMMA O I-ORG
Co O I-ORG
. O O
Roscommon I-LOC I-LOC
. O O
] O O
Ireland I-LOC I-LOC
-- O O
Folklore O I-LOC
Ireland I-LOC I-LOC
-- O O
School O O
children O O
Ireland I-LOC I-LOC
-- O O
Social O O
life O O
and O O
customs O O
Ireland I-LOC I-LOC
-- O O
Town O O
and O O
city O O
histories O O
Roscommon I-LOC I-LOC
( O O
Ireland I-LOC I-LOC
: O O
County O O
) O O
SQUOTE O I-ORG
Aquitania O I-ORG
SQUOTE O I-ORG
( O O
1914 O O
) O O
Bedford I-ORG I-ORG
Lemere I-ORG I-ORG
& O O
amp O O
; O O
circa O O
1920 O O
Historic O O
Photographic O I-MISC
Negatives O I-MISC
The O I-MISC
passenger O O
liner O O
& O O
amp O O
; O O
apos O O
; O O
Aquitania O I-LOC
& O O
amp O O
; O O
apos O O
; O O
( O O
1914 O O
) O O
underway O O
; O O
a O O
view O O
of O O
the O O
starboard O O
side O O
of O O
the O O
ship O O
from O O
forward O O
of O O
broadside O O
. O O
The O O
appearance O O
of O O
the O O
bridge O O
indicates O O
that O O
this O O
photograph O O
was O O
taken O O
after O O
modifications O O
made O O
to O O
the O O
ship O O
in O O
1920 O O
. O O
This O O
is O O
a O O
copy O O
negative O O
made O O
by O O
Bedford I-ORG I-ORG
Lemere I-ORG I-ORG
& O I-ORG
amp O O
; O O
amp O O
; O O
amp O O
; O O
; O O
the O O
original O O
photographer O O
is O O
unknown O O
. O O
An O O
account O O
of O O
the O O
Gold I-LOC O
coast I-LOC O
of O O
Africa I-LOC I-LOC
: O O
with O O
a O O
brief O O
history O O
of O O
the O O
African I-ORG I-MISC
company O O
. O O
By O O
Henry I-PER I-PER
Meredith I-PER I-PER
COMMA O O
. O O
. O O
. O O
Meredith I-PER I-PER
COMMA O I-PER
( O O
17 O O
. O O
.-18 O O
. O O
. O O
) O O
Longman I-ORG I-MISC
COMMA O I-MISC
Hurst I-ORG I-MISC
COMMA O I-MISC
Rees I-ORG I-MISC
COMMA O I-MISC
( O O
etc O O
. O O
) O O
( O O
London I-LOC I-LOC
) O O
Ghana I-LOC I-LOC
-- O O
Descriptions O O
et O O
voyages O O
Royal I-ORG I-MISC
African I-ORG I-MISC
Company I-ORG O
-- O O
Histoire O I-PER
Bibliothèque I-ORG I-PER
nationale I-ORG O
de I-ORG O
France I-ORG I-LOC
COMMA O I-ORG
8-O3n-35 O O
Ichyhyology O O
of O O
South I-LOC I-LOC
Carolina I-LOC I-LOC
( O O
[ O O
Reprod O I-ORG
. O O
] O O
) O O
/ O O
by O O
John I-PER I-PER
Edwards I-PER I-PER
Holbrook I-PER I-PER
COMMA O O
. O O
. O O
. O O
Holbrook I-PER I-PER
COMMA O O
Edwards I-PER I-PER
Russell I-ORG I-PER
( O O
Charleston I-LOC I-LOC
( O O
South I-LOC I-LOC
Carolina I-LOC I-LOC
) O O
) O O
Jones I-ORG I-ORG
( O O
Charleston I-LOC I-LOC
( O O
South I-LOC I-LOC
Carolina I-LOC I-LOC
) O O
) O O
Ichtyologie O I-ORG
-- O O
États-Unis I-LOC O
-- O O
Caroline I-LOC I-PER
du I-LOC I-PER
